tenure,MonthlyCharges,TotalCharges,Churn,PhoneService_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Log_TotalCharges,Tenure_Charges
72,99.9,7251.7,0,True,False,True,False,False,False,8.88912909231302,100.71805555555555
5,69.7,316.9,1,True,False,False,False,True,False,5.761736867916757,63.379999999999995
46,74.8,3548.3,0,True,False,False,True,False,False,8.174505679927726,77.13695652173914
34,106.35,3549.25,1,True,False,False,False,True,False,8.174773302525123,104.38970588235294
11,97.85,1105.4,1,True,False,False,False,False,False,7.008866780350549,100.4909090909091
10,49.55,475.7,0,True,True,False,False,False,True,6.16688736221078,47.57
70,69.2,4872.35,0,True,False,True,True,False,False,8.491536864602452,69.605
17,20.75,418.25,0,True,True,False,False,False,True,6.038467400703318,24.602941176470587
63,79.85,4861.45,0,True,False,True,True,False,False,8.489297705097483,77.16587301587302
13,76.2,981.45,0,True,False,False,False,True,False,6.890049451863205,75.49615384615385
49,84.5,3906.7,0,True,False,False,False,True,False,8.270704244607035,79.72857142857143
2,49.25,97.0,0,True,False,False,False,False,True,4.584967478670572,48.5
2,80.65,144.15,1,True,False,False,False,True,False,4.977767690470639,72.075
52,79.75,4217.8,0,True,False,True,True,False,False,8.347306006402459,81.11153846153846
69,64.15,4254.1,0,True,False,True,True,False,False,8.355873542493944,61.6536231884058
43,90.25,3838.75,0,True,False,False,False,True,False,8.253162539295738,89.27325581395348
15,99.1,1426.4,1,True,False,False,True,False,False,7.263609886536967,95.09333333333333
25,69.5,1752.65,0,True,False,False,True,False,False,7.4694546091209375,70.10600000000001
8,80.65,633.3,1,True,False,False,True,False,False,6.4525220286398515,79.1625
60,74.85,4456.35,0,True,True,False,True,False,False,8.402309698021336,74.27250000000001
18,95.45,1752.55,1,True,False,False,False,True,False,7.4693975835734765,97.36388888888888
63,99.65,6311.2,0,True,True,False,True,False,False,8.750239547701803,100.17777777777778
66,108.45,7076.35,0,True,True,False,False,True,False,8.864654822837052,107.21742424242424
34,24.95,894.3,0,True,False,True,True,False,False,6.7971588576401105,26.302941176470586
72,107.5,7853.7,0,True,False,True,True,False,False,8.968867357726134,109.07916666666667
47,100.5,4707.1,0,True,False,False,False,True,False,8.457039708596394,100.15106382978725
60,89.9,5450.7,0,True,False,False,False,False,False,8.603682765623805,90.845
72,42.1,2962.0,0,False,False,True,False,False,False,7.993957547573565,41.138888888888886
18,54.4,957.1,0,True,True,False,True,False,False,6.864952156656828,53.172222222222224
9,94.4,857.25,1,True,False,False,False,True,False,6.754895432337801,95.25
3,75.3,244.1,0,True,False,False,False,True,False,5.501666290534067,81.36666666666666
47,78.9,3650.35,0,True,True,False,False,True,False,8.202852241207772,77.66702127659575
31,79.2,2497.2,0,True,False,True,False,False,True,7.823325751531809,80.55483870967741
50,20.15,930.9,0,True,False,True,False,False,False,6.83722551279161,18.618
10,79.85,887.35,0,True,False,False,False,False,True,6.789365809481915,88.735
1,49.05,49.05,0,True,False,False,False,False,True,3.9130225057612296,49.05
52,20.4,1090.65,0,True,True,False,False,True,False,6.995445592109125,20.974038461538463
64,111.6,7099.0,0,True,False,True,False,False,False,8.867850063029406,110.921875
62,24.25,1424.6,0,True,False,True,False,False,False,7.262348056716545,22.97741935483871
3,64.5,177.4,0,True,False,False,False,False,False,5.184028220145909,59.13333333333333
56,110.5,6139.5,0,True,True,False,False,True,False,8.722661451050438,109.63392857142857
46,55.65,2688.85,0,True,True,False,True,False,False,7.8972407089593375,58.45326086956521
8,54.65,482.25,0,True,False,False,False,False,True,6.18053411808844,60.28125
30,74.75,2111.3,0,True,False,False,False,True,False,7.655532680193197,70.37666666666668
45,25.9,1216.6,0,True,True,False,True,False,False,7.104636987107422,27.035555555555554
1,79.35,79.35,1,True,False,False,False,True,False,4.386392092183521,79.35
11,50.55,565.35,0,False,False,False,False,True,False,6.339212261646723,51.39545454545455
7,75.15,496.9,1,True,False,False,False,False,False,6.210399253648137,70.98571428571428
42,103.8,4327.5,0,True,False,False,False,False,False,8.372976340655828,103.03571428571429
49,20.15,973.35,0,True,False,True,False,False,False,6.881770582010144,19.864285714285714
9,99.3,918.75,0,True,False,False,True,False,False,6.824101893984884,102.08333333333333
35,62.15,2215.45,0,True,True,False,False,False,False,7.703662095843597,63.29857142857142
48,20.65,1057.0,0,True,False,True,False,False,False,6.964135612418245,22.020833333333332
46,19.95,927.1,0,True,False,True,False,False,True,6.833139485601347,20.15434782608696
29,33.75,1009.25,0,False,False,False,False,False,True,6.917953103958583,34.80172413793103
30,82.05,2570.2,0,True,False,False,False,False,False,7.852127994983248,85.67333333333333
1,74.7,74.7,0,True,False,False,False,True,False,4.3267781604434035,74.7
66,84.0,5714.25,0,True,False,True,False,False,True,8.65089331980408,86.57954545454545
65,111.05,7107.0,0,True,False,False,True,False,False,8.868976189274543,109.33846153846154
72,100.9,7459.05,0,True,False,True,False,False,False,8.917317395588213,103.59791666666666
12,78.95,927.35,1,True,False,False,False,True,False,6.83340881685348,77.27916666666667
71,66.85,4748.7,0,True,True,False,True,False,False,8.465836737139407,66.8830985915493
5,21.05,113.85,1,True,False,False,False,False,True,4.743626929135107,22.77
52,21.0,1107.2,0,True,False,True,False,False,False,7.010492356433249,21.292307692307695
25,98.5,2514.5,1,True,False,False,False,True,False,7.830226869931373,100.58
1,20.2,20.2,0,True,False,False,False,False,True,3.054001181677967,20.2
1,19.45,19.45,0,True,False,False,False,True,False,3.017982882488811,19.45
38,95.0,3605.6,0,True,True,False,False,False,False,8.190520779273172,94.88421052631578
66,45.55,3027.25,0,False,True,False,False,False,False,8.015740173896912,45.86742424242424
68,110.0,7611.85,1,True,False,True,False,False,False,8.937592887972736,111.93897058823529
5,24.3,100.2,0,False,False,False,False,False,True,4.617098756853365,20.04
72,104.15,7303.05,0,True,True,False,False,True,False,8.896184267815448,101.43125
32,30.15,927.65,0,False,True,False,False,False,True,6.833731918633351,28.9890625
43,94.35,3921.3,0,True,True,False,False,False,True,8.274433495416885,91.19302325581396
72,19.4,1363.25,0,True,False,True,True,False,False,7.218360106066341,18.93402777777778
55,96.75,5238.9,1,True,False,False,False,True,False,8.564057693163521,95.25272727272727
52,57.95,3042.25,0,True,True,False,True,False,False,8.020681302289706,58.50480769230769
43,91.65,3954.1,0,True,False,False,False,True,False,8.282761164332172,91.95581395348837
37,76.5,2868.15,1,True,False,False,False,True,False,7.961771097640099,77.51756756756757
64,54.6,3423.5,0,False,False,True,False,True,False,8.13871075463796,53.4921875
3,89.85,248.4,0,True,False,False,False,True,False,5.519058033245936,82.8
36,31.05,1126.35,0,False,False,True,False,False,False,7.027625024832521,31.287499999999998
10,100.25,1064.65,1,True,False,False,False,True,False,6.971340220607248,106.465
41,20.65,835.15,0,True,False,True,False,False,True,6.728808022827132,20.36951219512195
27,85.2,2151.6,0,True,False,False,True,False,False,7.674431692830198,79.68888888888888
56,99.8,5515.45,0,True,True,False,True,False,False,8.615489816441348,98.49017857142857
6,20.7,112.75,0,True,False,False,False,False,True,4.7340030578310595,18.791666666666668
3,74.4,229.55,1,True,False,False,False,True,False,5.440467758652715,76.51666666666667
7,50.7,350.35,0,True,False,False,False,False,True,5.861782877638206,50.050000000000004
4,20.85,62.9,0,True,False,False,False,False,True,4.157319361383489,15.725
33,88.95,3027.65,0,True,False,True,False,True,False,8.015872254664492,91.7469696969697
27,78.05,2135.5,1,True,False,False,False,True,False,7.66692425508408,79.0925925925926
72,23.55,1723.95,0,True,False,True,False,False,False,7.452953343538126,23.94375
1,19.75,19.75,0,True,False,False,False,False,True,3.0325462466767075,19.75
71,56.45,3985.35,0,False,True,False,False,True,False,8.290631304243542,56.131690140845066
13,85.95,1215.65,0,True,False,False,False,True,False,7.103856459184463,93.51153846153846
25,58.6,1502.65,1,False,False,False,True,False,False,7.315650764662011,60.106
67,50.55,3260.1,0,True,False,True,False,False,False,8.089819840759192,48.65820895522388
1,35.45,35.45,1,False,False,False,False,True,False,3.5959414584546674,35.45
2,44.35,81.25,1,True,False,False,False,True,False,4.409763389645481,40.625
43,25.7,1188.2,0,True,False,True,True,False,False,7.081036091123942,27.632558139534886
23,75.0,1778.5,0,True,False,False,False,False,False,7.484087704950247,77.32608695652173
64,20.2,1277.75,0,True,False,True,False,False,True,7.153638317265837,19.96484375
57,19.6,1170.55,0,True,False,True,False,False,True,7.0660829373614416,20.5359649122807
1,70.45,70.45,1,True,False,False,False,False,True,4.268997904375876,70.45
72,88.05,6425.65,0,True,False,True,True,False,False,8.768208686132068,89.24513888888889
8,71.15,563.65,1,True,False,False,False,True,False,6.33620607016968,70.45625
61,101.05,5971.25,0,True,False,True,False,False,False,8.694879019805663,97.88934426229508
64,84.3,5289.05,0,True,True,False,True,False,False,8.573582976603518,82.64140625
71,23.95,1756.2,0,True,False,True,False,False,False,7.4714769121016245,24.735211267605635
65,99.05,6416.7,0,True,False,True,True,False,False,8.766815077043479,98.71846153846154
3,19.6,61.35,0,True,True,False,False,False,True,4.132763672126045,20.45
1,45.65,45.65,1,True,False,False,False,True,False,3.8426729272933526,45.65
30,64.5,1929.95,0,True,True,False,True,False,False,7.565767388773753,64.33166666666666
15,69.5,1071.4,0,True,False,False,False,False,True,6.977654406361804,71.42666666666668
8,68.55,564.35,0,True,False,False,False,True,False,6.337445008381255,70.54375
7,95.0,655.5,1,True,False,False,False,False,True,6.486922693742851,93.64285714285714
70,108.15,7930.55,0,True,True,False,True,False,False,8.97860375580645,113.29357142857143
62,86.1,5215.25,0,True,False,True,False,True,False,8.559534031905763,84.11693548387096
6,19.7,113.5,0,True,False,False,False,False,True,4.740574822994295,18.916666666666668
14,80.9,1152.8,0,True,False,False,False,False,False,7.050816121822789,82.34285714285714
22,84.15,1821.95,0,True,False,False,False,False,False,7.508211346984919,82.81590909090909
22,20.15,419.9,0,True,True,False,False,False,True,6.042395275776525,19.086363636363636
16,64.25,1024.0,0,True,False,True,False,False,True,6.932447891572509,64.0
10,25.7,251.6,0,True,False,True,False,False,False,5.531807209916391,25.16
13,56.0,764.55,0,True,False,False,False,True,False,6.640594529751104,58.81153846153846
20,82.4,1592.35,1,True,False,False,False,True,False,7.37359399701373,79.61749999999999
2,69.7,135.2,0,True,False,False,False,True,False,4.9141243937154115,67.6
53,73.9,3958.25,0,True,False,True,False,False,False,8.283809892371835,74.68396226415095
11,20.6,233.9,0,True,True,False,False,False,True,5.459159891664867,21.263636363636365
69,19.9,1363.45,0,True,False,True,False,False,True,7.2185066960178625,19.76014492753623
4,70.9,273.0,1,True,False,False,False,False,False,5.6131281063880705,68.25
72,89.05,6254.45,0,True,False,True,False,False,False,8.741208362759322,86.86736111111111
58,45.3,2651.2,1,False,False,False,False,True,False,7.883144763243498,45.710344827586205
16,20.4,321.4,0,True,False,False,False,True,False,5.775793010632473,20.0875
43,84.25,3539.25,0,True,True,False,False,False,False,8.171952625103168,82.30813953488372
2,104.4,242.8,1,True,False,False,False,True,False,5.496348217047172,121.4
14,81.95,1181.75,0,True,False,True,False,False,True,7.075597514511258,84.41071428571429
53,94.85,5000.2,1,True,True,False,False,False,False,8.517433162620845,94.3433962264151
32,20.55,654.55,0,True,True,False,False,False,False,6.485474577945411,20.4546875
34,24.7,780.2,0,True,False,False,False,True,False,6.660831199002524,22.947058823529414
15,74.45,1145.7,1,True,False,False,False,False,True,7.044643531044259,76.38000000000001
7,76.45,503.6,1,True,False,False,False,False,False,6.223766036206958,71.94285714285715
15,105.35,1559.25,0,True,False,False,False,False,False,7.352601343814152,103.95
61,20.55,1252.0,0,True,True,False,True,False,False,7.133295954896068,20.524590163934427
1,29.95,29.95,1,False,False,False,False,False,False,3.432372999130605,29.95
1,45.3,45.3,0,True,False,False,False,False,True,3.835141961092188,45.3
8,84.5,662.65,1,True,False,False,False,False,False,6.497754902072211,82.83125
33,74.75,2453.3,0,True,True,False,True,False,False,7.805596867187762,74.34242424242424
13,79.25,1111.65,1,True,False,False,False,True,False,7.014499836412125,85.51153846153846
1,24.8,24.8,1,False,False,False,False,True,False,3.250374491927572,24.8
20,51.8,1023.85,0,True,False,False,False,False,True,6.932301539400137,51.1925
3,30.4,82.15,0,False,False,False,False,True,False,4.420646205638937,27.383333333333336
13,19.65,244.8,0,True,True,False,False,True,False,5.504518197131935,18.83076923076923
40,56.6,2379.1,0,True,False,False,True,False,False,7.774897782589561,59.4775
43,71.9,3173.35,0,True,True,False,True,False,False,8.06285816595844,73.79883720930232
6,91.0,531.0,1,True,False,False,False,True,False,6.2766434893416445,88.5
69,19.75,1375.4,0,True,False,True,False,False,False,7.227226673923325,19.933333333333334
72,109.7,8129.3,0,True,False,True,True,False,False,9.003353102230058,112.90694444444445
59,19.3,1192.7,0,True,False,True,True,False,False,7.084813006100993,20.215254237288136
20,96.55,1901.65,0,True,False,False,False,True,False,7.551002930254652,95.08250000000001
24,24.1,587.4,0,True,False,True,False,False,False,6.377406988727283,24.474999999999998
59,111.35,6519.75,0,True,False,False,False,True,False,8.782744678980025,110.5042372881356
72,112.25,8041.65,0,True,False,True,False,False,False,8.992513909856259,111.68958333333333
1,20.75,20.75,0,True,False,False,False,False,True,3.079613757534693,20.75
27,101.9,2681.15,0,True,True,False,True,False,False,7.8943739906893216,99.30185185185185
14,80.05,1112.3,0,True,False,False,True,False,False,7.015083856734662,79.45
71,105.55,7405.5,0,True,False,True,False,True,False,8.910113272022107,104.30281690140845
13,78.3,1033.95,0,True,False,False,True,False,False,6.9421083953538,79.53461538461539
44,68.85,2958.95,0,True,False,False,True,False,False,7.992927655283545,67.24886363636364
33,79.95,2684.85,0,True,True,False,False,False,False,7.895752530400927,81.35909090909091
72,55.45,4179.2,0,False,False,True,True,False,False,8.338114371264128,58.044444444444444
1,79.9,79.9,1,True,False,False,False,True,False,4.393213824064446,79.9
19,106.6,1934.45,1,True,False,False,False,True,False,7.568095136565964,101.81315789473685
64,102.45,6654.1,0,True,True,False,True,False,False,8.803138757012336,103.9703125
2,46.0,84.5,1,True,False,False,True,False,False,4.448516375942715,42.25
1,25.25,25.25,0,False,False,False,False,True,False,3.2676659890376327,25.25
61,19.75,1124.2,0,True,False,True,False,False,True,7.025716076615701,18.42950819672131
29,20.0,540.05,0,True,True,False,False,True,False,6.293511696017657,18.622413793103448
23,86.8,1975.85,0,True,False,False,False,True,False,7.589259947758008,85.90652173913043
57,58.75,3437.45,0,False,False,False,False,False,False,8.142776067429795,60.30614035087719
72,45.25,3139.8,0,False,False,True,True,False,False,8.052232823522196,43.608333333333334
66,56.6,3789.2,0,False,False,True,False,False,False,8.24017406713271,57.41212121212121
65,84.2,5324.5,0,True,False,True,False,False,False,8.580261882883221,81.91538461538461
8,80.0,624.6,0,True,False,False,False,False,False,6.4387111892311015,78.075
4,70.15,268.35,1,True,False,False,False,True,False,5.596011649126543,67.0875
71,24.75,1836.9,0,True,False,True,False,False,False,7.516378894471428,25.871830985915494
1,20.2,20.2,0,True,True,False,False,True,False,3.054001181677967,20.2
4,50.05,179.35,1,True,False,False,False,False,True,5.194899407349548,44.8375
12,19.35,219.35,0,True,True,False,False,False,False,5.395217191287996,18.279166666666665
24,50.6,1288.75,0,False,True,False,False,False,True,7.162203680124759,53.697916666666664
31,81.15,2545.75,0,True,True,False,False,False,True,7.842573315470176,82.12096774193549
1,55.2,55.2,1,True,False,False,False,False,True,4.028916756899646,55.2
30,89.9,2723.15,0,True,False,False,True,False,False,7.909911731832617,90.77166666666668
47,85.3,4107.25,0,True,False,True,True,False,False,8.3207524260614,87.38829787234043
54,108.0,5760.65,0,True,False,True,True,False,False,8.658979171001915,106.6787037037037
50,93.5,4747.5,0,True,False,False,True,False,False,8.465584057683007,94.95
1,84.6,84.6,1,True,False,False,False,False,True,4.449685283147696,84.6
72,20.25,1566.9,0,True,False,True,True,False,False,7.357492423366405,21.762500000000003
29,25.15,702.0,0,True,False,False,False,True,False,6.555356891810665,24.20689655172414
2,54.4,114.1,1,True,False,False,False,False,True,4.745801315727837,57.05
10,29.6,299.05,0,False,False,True,False,False,True,5.703949127435522,29.905
18,73.15,1305.95,0,True,False,False,False,True,False,7.175451457345406,72.55277777777778
11,95.0,1120.3,1,True,False,False,False,True,False,7.022244005466835,101.84545454545454
16,19.75,284.35,0,True,False,True,False,False,True,5.653716496982717,17.771875
72,86.6,6350.5,0,True,False,True,False,False,False,8.756446284463516,88.20138888888889
72,109.2,7878.3,0,True,False,True,False,False,False,8.971994346418777,109.42083333333333
41,74.7,3187.65,0,True,True,False,True,False,False,8.067352908713396,77.74756097560976
65,94.4,6126.15,0,True,False,False,False,True,False,8.72048499422784,94.24846153846153
13,54.8,731.3,0,True,False,False,False,True,False,6.596190266067024,56.25384615384615
4,75.35,273.4,0,True,False,False,False,True,False,5.61458689585173,68.35
41,65.0,2531.8,0,True,True,False,False,False,True,7.837080689126748,61.75121951219513
15,74.4,1074.3,1,True,False,False,False,True,False,6.980354971396481,71.61999999999999
1,48.55,48.55,1,True,False,False,False,False,True,3.902982260775997,48.55
42,99.0,4298.45,0,True,True,False,False,True,False,8.366242386524114,102.34404761904761
51,93.5,4619.55,0,True,True,False,False,True,False,8.438269024609227,90.57941176470588
2,70.4,147.15,1,True,False,False,False,True,False,4.998225274019575,73.575
1,40.2,40.2,1,False,False,False,False,True,False,3.7184382563554808,40.2
32,83.7,2633.3,0,True,True,False,True,False,False,7.87637277103406,82.290625
10,19.85,193.05,0,True,False,False,False,False,True,5.268115857814915,19.305
67,59.55,4103.9,0,False,False,True,False,True,False,8.319936661053873,61.252238805970144
61,115.1,7008.15,0,True,False,True,True,False,False,8.85497171732711,114.88770491803278
50,114.35,5791.1,0,True,True,False,True,False,False,8.664250199109881,115.822
2,44.6,80.55,1,True,False,False,True,False,False,4.401216329067023,40.275
29,45.0,1228.65,0,False,False,False,False,True,False,7.114484855028092,42.36724137931035
3,41.15,132.2,1,False,False,False,False,True,False,4.891851758106289,44.06666666666666
13,106.9,1364.3,1,True,False,False,False,True,False,7.219129463690706,104.94615384615385
57,89.85,4925.35,0,True,False,False,False,True,False,8.502353627719575,86.40964912280702
31,49.85,1520.1,0,False,False,True,False,False,False,7.327189036317697,49.03548387096774
45,113.3,5032.25,0,True,True,False,False,False,True,8.52382117770646,111.82777777777778
61,88.1,5526.75,0,True,False,True,False,False,True,8.617536140112266,90.60245901639344
50,24.9,1195.25,0,True,False,True,False,False,False,7.086946942767164,23.905
19,105.0,2007.25,0,True,False,False,False,False,True,7.605018975053922,105.64473684210526
59,19.35,1099.6,1,True,False,True,False,False,True,7.003610764625658,18.63728813559322
71,24.25,1732.95,0,True,False,True,True,False,False,7.458157321861312,24.40774647887324
16,94.45,1511.2,1,True,False,False,False,True,False,7.32132082312417,94.45
57,59.75,3450.15,0,True,False,True,False,True,False,8.146462787815526,60.52894736842106
1,24.8,24.8,1,False,False,False,False,False,False,3.250374491927572,24.8
20,107.05,2172.05,0,True,False,False,False,True,False,7.68388698965577,108.6025
1,70.6,70.6,1,True,False,False,False,False,True,4.2710950739666,70.6
5,85.4,401.1,1,True,False,False,False,True,False,5.996700813903228,80.22
52,105.05,5624.85,1,True,False,False,False,True,False,8.635127326767599,108.17019230769232
21,64.95,1339.8,0,True,False,False,False,False,False,7.2010217297278185,63.8
14,55.0,771.95,0,False,False,False,False,True,False,6.650214363442343,55.13928571428572
5,50.55,244.75,0,True,False,False,False,False,False,5.504314759027276,48.95
6,55.15,322.9,0,True,False,False,False,False,True,5.7804348261772835,53.81666666666666
10,51.2,498.25,0,True,False,False,False,True,False,6.2131069722959245,49.825
1,25.4,25.4,0,True,False,False,False,False,True,3.2733640101522705,25.4
68,54.45,3687.75,0,True,False,False,False,False,True,8.213042926257149,54.231617647058826
18,95.15,1779.95,1,True,False,False,False,False,True,7.484902208779911,98.88611111111112
22,76.0,1783.6,0,True,True,False,True,False,False,7.486949579466051,81.07272727272726
20,44.35,927.15,0,True,False,False,False,True,False,6.833193357655232,46.3575
1,70.0,70.0,1,True,False,False,False,True,False,4.2626798770413155,70.0
8,74.5,606.55,1,True,False,False,False,True,False,6.409434476354621,75.81875
10,44.85,435.4,1,True,False,False,True,False,False,6.0785592539589155,43.54
24,76.1,1712.7,1,True,False,False,False,True,False,7.446410054666804,71.3625
35,61.2,2021.2,0,True,True,False,False,False,True,7.6119413066572985,57.74857142857143
23,86.8,1940.8,0,True,True,False,False,False,True,7.571370656936044,84.38260869565217
6,89.35,567.8,0,True,False,False,False,True,False,6.343528878489031,94.63333333333333
12,19.7,220.35,0,True,False,False,False,False,True,5.39974515917815,18.3625
1,20.25,20.25,0,True,False,False,False,False,True,3.056356895370426,20.25
71,76.05,5436.45,0,True,False,True,False,True,False,8.601065479952362,76.56971830985916
35,100.8,3437.5,0,True,False,False,False,True,False,8.14279060875989,98.21428571428571
40,74.55,3015.75,0,True,False,False,False,True,False,8.01193537195371,75.39375
1,73.6,73.6,1,True,False,False,False,False,True,4.312140507209715,73.6
23,64.9,1509.8,0,True,True,False,False,False,False,7.320394590838302,65.64347826086956
4,95.45,396.1,1,True,False,False,False,True,False,5.984188138137206,99.025
4,90.4,356.65,0,True,False,False,False,True,False,5.879554854554393,89.1625
68,60.3,4109.0,0,False,False,True,True,False,False,8.32117830749028,60.4264705882353
38,81.85,3141.7,0,True,False,False,False,False,True,8.052837582035098,82.67631578947368
52,24.8,1229.1,0,True,False,True,False,False,True,7.114850745874739,23.63653846153846
32,74.9,2303.35,1,True,False,False,False,True,False,7.742553920000891,71.9796875
29,75.55,2054.4,0,True,False,True,False,False,True,7.6282257551909725,70.84137931034483
38,101.15,3741.85,0,True,False,False,False,True,False,8.227602632295108,98.46973684210526
48,78.75,3682.45,0,True,True,False,True,False,False,8.211605091984318,76.71770833333333
1,19.25,19.25,0,True,False,False,False,False,False,3.0081547935525483,19.25
22,89.05,1886.25,0,True,False,False,False,True,False,7.542876022019734,85.73863636363636
43,115.05,4895.1,0,True,False,True,True,False,False,8.49619424882018,113.83953488372094
5,69.35,341.6,0,True,False,False,False,True,False,5.83656358589002,68.32000000000001
5,80.6,415.55,1,True,False,False,False,True,False,6.032006502420918,83.11
51,110.05,5686.4,0,True,True,False,True,False,False,8.646008480687051,111.49803921568626
71,19.9,1355.1,0,True,False,True,True,False,False,7.2123682120938994,19.085915492957746
38,80.3,3058.65,1,True,True,False,True,False,False,8.026055809319672,80.49078947368422
24,93.15,2231.05,1,True,False,False,False,True,False,7.710675724683985,92.96041666666667
35,91.5,3236.35,0,True,False,False,True,False,False,8.082510372888098,92.46714285714286
54,82.45,4350.1,1,True,True,False,False,False,False,8.378183965678819,80.55740740740741
72,60.0,4264.0,0,False,False,True,False,True,False,8.35819745992578,59.22222222222222
1,44.8,44.8,0,True,False,False,False,True,False,3.824284091120139,44.8
9,48.6,422.3,0,True,True,False,False,False,True,6.048081147526878,46.922222222222224
69,60.05,4176.7,0,False,False,True,False,False,False,8.33751613484719,60.53188405797101
52,102.7,5138.1,0,True,False,False,True,False,False,8.544633245841629,98.8096153846154
11,82.9,880.05,0,True,False,False,False,True,False,6.781114378014739,80.00454545454545
2,70.35,139.05,1,True,False,False,False,True,False,4.941999501706118,69.525
28,35.9,973.65,0,False,False,False,False,True,False,6.882078432192154,34.77321428571428
17,82.65,1470.05,0,True,False,False,True,False,False,7.293731710506439,86.4735294117647
35,19.85,739.35,0,True,False,True,False,False,True,6.607123047354728,21.124285714285715
8,19.2,161.95,0,True,True,False,False,False,True,5.093443405283571,20.24375
46,94.9,4422.95,0,True,True,False,True,False,False,8.394788241149152,96.15108695652174
7,73.85,511.25,1,True,False,False,False,True,False,6.238812787119009,73.03571428571429
2,80.6,155.8,1,True,False,False,False,False,True,5.054971107916307,77.9
68,75.8,5293.95,1,True,True,False,False,False,False,8.57450881512029,77.85220588235293
43,104.6,4759.85,1,True,False,True,False,True,False,8.468181502712058,110.69418604651163
68,88.15,6148.45,0,True,False,True,False,True,False,8.724117925907073,90.41838235294118
36,94.8,3565.65,0,True,False,False,True,False,False,8.179382058873774,99.04583333333333
63,103.4,6603.0,1,True,False,False,False,True,False,8.795430805040018,104.80952380952381
32,54.65,1830.1,0,True,False,False,False,False,False,7.512672158147668,57.190625
71,85.75,6223.8,0,True,False,True,True,False,False,8.73629659230272,87.65915492957747
66,67.45,4508.65,0,True,False,False,False,False,False,8.413974824163768,68.31287878787879
63,20.5,1328.15,0,True,True,False,False,False,True,7.192294919161421,21.081746031746032
41,20.25,865.0,0,True,True,False,True,False,False,6.763884908562435,21.097560975609756
1,72.1,72.1,0,True,False,False,False,True,False,4.291828366755733,72.1
2,90.4,168.2,1,True,False,False,False,True,False,5.1310814471721224,84.1
70,19.45,1303.5,0,True,False,True,False,False,False,7.173575104576783,18.62142857142857
23,44.95,996.85,0,False,False,False,False,True,False,6.905602964413994,43.34130434782609
